author,page_url,quote,tags,tags_url
George Bernard Shaw,https://quotes.toscrape.com/page/6/,“Life isn't about finding yourself. Life is about creating yourself.”,"inspirational,life,yourself","/tag/inspirational/page/1/,/tag/life/page/1/,/tag/yourself/page/1/"
Charles Bukowski,https://quotes.toscrape.com/page/7/,"“That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.”",alcohol,/tag/alcohol/page/1/
Suzanne Collins,https://quotes.toscrape.com/page/7/,“You don’t forget the face of the person who was your last hope.”,the-hunger-games,/tag/the-hunger-games/page/1/
Marilyn Monroe,https://quotes.toscrape.com/page/2/,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","friends,heartbreak,inspirational,life,love,sisters","/tag/friends/page/1/,/tag/heartbreak/page/1/,/tag/inspirational/page/1/,/tag/life/page/1/,/tag/love/page/1/,/tag/sisters/page/1/"
George R.R. Martin,https://quotes.toscrape.com/page/5/,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”","read,readers,reading,reading-books","/tag/read/page/1/,/tag/readers/page/1/,/tag/reading/page/1/,/tag/reading-books/page/1/"
C.S. Lewis,https://quotes.toscrape.com/page/5/,“You can never get a cup of tea large enough or a book long enough to suit me.”,"books,inspirational,reading,tea","/tag/books/page/1/,/tag/inspirational/page/1/,/tag/reading/page/1/,/tag/tea/page/1/"
Suzanne Collins,https://quotes.toscrape.com/page/7/,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",humor,/tag/humor/page/1/
C.S. Lewis,https://quotes.toscrape.com/page/7/,"“To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”",love,/tag/love/page/1/
J.K. Rowling,https://quotes.toscrape.com/page/2/,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","courage,friends","/tag/courage/page/1/,/tag/friends/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/2/,"“If you can't explain it to a six year old, you don't understand it yourself.”","simplicity,understand","/tag/simplicity/page/1/,/tag/understand/page/1/"
Bob Marley,https://quotes.toscrape.com/page/2/,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",love,/tag/love/page/1/
Marilyn Monroe,https://quotes.toscrape.com/page/5/,“You believe lies so you eventually learn to trust no one but yourself.”,,
Marilyn Monroe,https://quotes.toscrape.com/page/5/,"“If you can make a woman laugh, you can make her do anything.”","girls,love","/tag/girls/page/1/,/tag/love/page/1/"
Albert Einstein,https://quotes.toscrape.com/page/5/,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”","life,simile","/tag/life/page/1/,/tag/simile/page/1/"
J.R.R. Tolkien,https://quotes.toscrape.com/page/7/,“Not all those who wander are lost.”,"bilbo,journey,lost,quest,travel,wander","/tag/bilbo/page/1/,/tag/journey/page/1/,/tag/lost/page/1/,/tag/quest/page/1/,/tag/travel/page/1/,/tag/wander/page/1/"
J.K. Rowling,https://quotes.toscrape.com/page/7/,"“Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”",live-death-love,/tag/live-death-love/page/1/
Ernest Hemingway,https://quotes.toscrape.com/page/7/,“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,"good,writing","/tag/good/page/1/,/tag/writing/page/1/"
Ralph Waldo Emerson,https://quotes.toscrape.com/page/7/,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,"life,regrets","/tag/life/page/1/,/tag/regrets/page/1/"
Dr. Seuss,https://quotes.toscrape.com/page/2/,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",fantasy,/tag/fantasy/page/1/
